title,actor1,actor1_fb,actor2,actor2_fb,actor3,actor3_fb
Avatar,CCH Pounder,1000.0,Joel David Moore,936.0,Wes Studi,855.0
Pirates of the Caribbean: At World's End,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0
Spectre,Christoph Waltz,11000.0,Rory Kinnear,393.0,Stephanie Sigman,161.0
The Dark Knight Rises,Tom Hardy,27000.0,Christian Bale,23000.0,Joseph Gordon-Levitt,23000.0
Star Wars: Episode VII - The Force Awakens,Doug Walker,131.0,Rob Walker,12.0,,
John Carter,Daryl Sabara,640.0,Samantha Morton,632.0,Polly Walker,530.0
Spider-Man 3,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0
Tangled,Brad Garrett,799.0,Donna Murphy,553.0,M.C. Gainey,284.0
Avengers: Age of Ultron,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0
Harry Potter and the Half-Blood Prince,Alan Rickman,25000.0,Daniel Radcliffe,11000.0,Rupert Grint,10000.0
Batman v Superman: Dawn of Justice,Henry Cavill,15000.0,Lauren Cohan,4000.0,Alan D. Purwin,2000.0
Superman Returns,Kevin Spacey,18000.0,Marlon Brando,10000.0,Frank Langella,903.0
Quantum of Solace,Giancarlo Giannini,451.0,Mathieu Amalric,412.0,Rory Kinnear,393.0
Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,40000.0,Orlando Bloom,5000.0,Jack Davenport,1000.0
The Lone Ranger,Johnny Depp,40000.0,Ruth Wilson,2000.0,Tom Wilkinson,1000.0
Man of Steel,Henry Cavill,15000.0,Christopher Meloni,3000.0,Harry Lennix,748.0
The Chronicles of Narnia: Prince Caspian,Peter Dinklage,22000.0,Pierfrancesco Favino,216.0,Damián Alcázar,201.0
The Avengers,Chris Hemsworth,26000.0,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0
Pirates of the Caribbean: On Stranger Tides,Johnny Depp,40000.0,Sam Claflin,11000.0,Stephen Graham,1000.0
Men in Black 3,Will Smith,10000.0,Michael Stuhlbarg,816.0,Nicole Scherzinger,718.0
The Hobbit: The Battle of the Five Armies,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0
The Amazing Spider-Man,Emma Stone,15000.0,Andrew Garfield,10000.0,Chris Zylka,963.0
Robin Hood,Mark Addy,891.0,William Hurt,882.0,Scott Grimes,738.0
The Hobbit: The Desolation of Smaug,Aidan Turner,5000.0,Adam Brown,972.0,James Nesbitt,773.0
The Golden Compass,Christopher Lee,16000.0,Eva Green,6000.0,Kristin Scott Thomas,1000.0
King Kong,Naomi Watts,6000.0,Thomas Kretschmann,919.0,Evan Parke,84.0
Titanic,Leonardo DiCaprio,29000.0,Kate Winslet,14000.0,Gloria Stuart,794.0
Captain America: Civil War,Robert Downey Jr.,21000.0,Scarlett Johansson,19000.0,Chris Evans,11000.0
Battleship,Liam Neeson,14000.0,Alexander Skarsgård,10000.0,Tadanobu Asano,627.0
Jurassic World,Bryce Dallas Howard,3000.0,Judy Greer,2000.0,Omar Sy,1000.0
Skyfall,Albert Finney,883.0,Helen McCrory,563.0,Rory Kinnear,393.0
Spider-Man 2,J.K. Simmons,24000.0,James Franco,11000.0,Kirsten Dunst,4000.0
Iron Man 3,Robert Downey Jr.,21000.0,Jon Favreau,4000.0,Don Cheadle,3000.0
Alice in Wonderland,Johnny Depp,40000.0,Alan Rickman,25000.0,Anne Hathaway,11000.0
X-Men: The Last Stand,Hugh Jackman,20000.0,Kelsey Grammer,808.0,Daniel Cudmore,560.0
Monsters University,Steve Buscemi,12000.0,Tyler Labine,779.0,Sean Hayes,760.0
Transformers: Revenge of the Fallen,Glenn Morshower,894.0,Kevin Dunn,581.0,Ramon Rodriguez,464.0
Transformers: Age of Extinction,Bingbing Li,974.0,Sophia Myles,956.0,Kelsey Grammer,808.0
Oz the Great and Powerful,Tim Holmes,44000.0,Mila Kunis,15000.0,James Franco,11000.0
The Amazing Spider-Man 2,Emma Stone,15000.0,Andrew Garfield,10000.0,B.J. Novak,825.0
TRON: Legacy,Jeff Bridges,12000.0,Olivia Wilde,10000.0,James Frain,1000.0
Cars 2,Joe Mantegna,1000.0,Thomas Kretschmann,919.0,Eddie Izzard,776.0
Green Lantern,Ryan Reynolds,16000.0,Temuera Morrison,368.0,Taika Waititi,326.0
Toy Story 3,Tom Hanks,15000.0,John Ratzenberger,1000.0,Don Rickles,721.0
Terminator Salvation,Christian Bale,23000.0,Bryce Dallas Howard,3000.0,Common,988.0
Furious 7,Jason Statham,26000.0,Paul Walker,23000.0,Vin Diesel,14000.0
World War Z,Peter Capaldi,17000.0,Brad Pitt,11000.0,Mireille Enos,1000.0
X-Men: Days of Future Past,Jennifer Lawrence,34000.0,Peter Dinklage,22000.0,Hugh Jackman,20000.0
Star Trek Into Darkness,Benedict Cumberbatch,19000.0,Bruce Greenwood,981.0,Noel Clarke,928.0
Jack the Giant Slayer,Eddie Marsan,979.0,Ewen Bremner,557.0,Ralph Brown,140.0
The Great Gatsby,Leonardo DiCaprio,29000.0,Elizabeth Debicki,509.0,Steve Bisley,77.0
Prince of Persia: The Sands of Time,Jake Gyllenhaal,15000.0,Richard Coyle,567.0,Reece Ritchie,236.0
Pacific Rim,Charlie Hunnam,16000.0,Clifton Collins Jr.,968.0,Larry Joe Campbell,919.0
Transformers: Dark of the Moon,Glenn Morshower,894.0,Lester Speight,829.0,Kevin Dunn,581.0
Indiana Jones and the Kingdom of the Crystal Skull,Harrison Ford,11000.0,Ray Winstone,1000.0,Jim Broadbent,1000.0
